Date,Close,Silver_Close,VNI_Close,USD_VND_Rate,Hseng_Close,Nikkei_Close,Nikkei_Volume,Dax_Close,SP_Close,DJ_Close,DJ_Volume
2017-10-09,1285.0,16.971,808.96,22725.5,28326.59,20668.0,57110.0,12976.4,2544.7,22761.07,310770000.0
2017-10-10,1293.8,17.207,810.65,22730.0,28490.83,20830.0,57110.0,12949.25,2550.6,22830.68,319270000.0
2017-10-11,1288.9,17.133,813.95,22719.0,28389.57,20870.0,54210.0,12970.68,2555.2,22872.89,316000000.0
2017-10-12,1296.5,17.266,815.87,22720.0,28459.03,20950.0,57330.0,12982.89,2550.9,22841.01,291790000.0
2017-10-13,1304.6,17.411,820.95,22720.0,28476.43,21160.0,86810.0,12991.87,2553.2,22871.72,259560000.0
2017-10-16,1303.0,17.369,819.43,22717.5,28692.8,21270.0,72250.0,13003.7,2557.6,22956.96,247180000.0
2017-10-17,1286.2,17.041,828.29,22718.5,28697.49,21350.0,69920.0,12995.06,2559.4,22997.44,273090000.0
2017-10-18,1283.0,16.997,827.72,22719.5,28711.76,21350.0,61540.0,13043.03,2561.3,23157.6,271870000.0
2017-10-19,1290.0,17.255,828.93,22722.5,28159.09,21470.0,63120.0,12990.1,2562.1,23163.04,350400000.0
2017-10-20,1280.5,17.078,826.84,22718.5,28487.24,21450.0,84870.0,12991.28,2575.2,23328.63,474380000.0
2017-10-23,1280.9,17.075,820.04,22723.5,28305.88,21740.0,86360.0,13003.14,2565.0,23273.96,456830000.0
2017-10-24,1278.3,16.966,825.24,22719.5,28154.97,21810.0,87070.0,13013.19,2569.1,23441.76,406850000.0
2017-10-25,1279.0,16.925,830.69,22725.0,28302.89,21760.0,96280.0,12953.41,2557.2,23329.46,399560000.0
2017-10-26,1269.6,16.811,830.11,22725.0,28202.38,21770.0,77050.0,13133.28,2560.4,23400.86,370600000.0
2017-10-27,1271.8,16.752,840.37,22710.0,28438.85,22050.0,79400.0,13217.54,2581.1,23434.19,518870000.0
2017-10-30,1277.7,16.847,845.2,22710.0,28336.19,22020.0,88470.0,13229.57,2572.8,23348.74,436900000.0
2017-10-31,1270.5,16.693,837.28,22710.0,28245.54,21950.0,79750.0,13465.51,2575.3,23377.24,388050000.0
2017-11-01,1277.3,17.176,842.71,22713.5,28594.06,22430.0,94790.0,13465.51,2579.4,23435.01,361260000.0
2017-11-02,1278.1,17.137,833.09,22712.5,28518.64,22480.0,98490.0,13440.93,2579.8,23516.26,348040000.0
2017-11-03,1269.2,16.834,843.73,22712.5,28603.61,22608.0,103550.0,13478.86,2587.8,23539.19,312250000.0
2017-11-06,1281.6,17.235,849.09,22715.0,28596.8,22600.0,103550.0,13468.79,2591.1,23548.42,325190000.0
