Date,Dax_Close,Dax_Volume,Dax_Change
1/8/2017,"12,251.29",89.61M,1.10%
31/07/2017,"12,118.25",89.28M,-0.37%
28/07/2017,"12,162.70",93.13M,-0.40%
27/07/2017,"12,212.04",102.84M,-0.76%
26/07/2017,"12,305.11",81.67M,0.33%
25/07/2017,"12,264.31",80.62M,0.45%
24/07/2017,"12,208.95",88.82M,-0.25%
21/07/2017,"12,240.06",136.83M,-1.66%
20/07/2017,"12,447.25",107.31M,-0.04%
19/07/2017,"12,452.05",77.53M,0.17%
18/07/2017,"12,430.39",89.67M,-1.25%
17/07/2017,"12,587.16",54.77M,-0.35%
14/07/2017,"12,631.72",70.41M,-0.08%
13/07/2017,"12,641.33",81.57M,0.12%
12/7/2017,"12,626.58",99.76M,1.52%
11/7/2017,"12,437.02",74.91M,-0.07%
10/7/2017,"12,445.92",71.50M,0.46%
7/7/2017,"12,388.68",81.46M,0.06%
6/7/2017,"12,381.25",115.83M,-0.58%
5/7/2017,"12,453.68",85.18M,0.13%
4/7/2017,"12,437.13",66.56M,-0.31%
3/7/2017,"12,475.31",79.45M,1.22%
30/06/2017,"12,325.12",107.05M,-0.73%
29/06/2017,"12,416.19",119.03M,-1.83%
28/06/2017,"12,647.27",106.79M,-0.19%
27/06/2017,"12,671.02",110.32M,-0.78%
26/06/2017,"12,770.83",70.39M,0.29%
23/06/2017,"12,733.41",78.47M,-0.47%
22/06/2017,"12,794.00",74.01M,0.15%
21/06/2017,"12,774.26",72.03M,-0.32%
20/06/2017,"12,814.79",81.46M,-0.58%
19/06/2017,"12,888.95",80.35M,1.07%
16/06/2017,"12,752.73",223.60M,0.48%
15/06/2017,"12,691.81",123.57M,-0.89%
14/06/2017,"12,805.95",107.15M,0.32%
13/06/2017,"12,764.98",76.83M,0.59%
12/6/2017,"12,690.44",96.94M,-0.98%
9/6/2017,"12,815.72",93.32M,0.80%
8/6/2017,"12,713.58",100.52M,0.32%
7/6/2017,"12,672.49",127.08M,-0.14%
6/6/2017,"12,690.12",84.16M,-1.04%
2/6/2017,"12,822.94",91.15M,1.25%
1/6/2017,"12,664.92",90.29M,0.40%
31/05/2017,"12,615.06",140.25M,0.13%
30/05/2017,"12,598.68",74.54M,-0.24%
29/05/2017,"12,628.95",38.07M,0.21%
26/05/2017,"12,602.18",75.56M,-0.15%
25/05/2017,"12,621.72",59.48M,-0.17%
24/05/2017,"12,642.87",73.73M,-0.13%
23/05/2017,"12,659.15",91.03M,0.31%
22/05/2017,"12,619.46",75.33M,-0.15%
19/05/2017,"12,638.69",121.95M,0.39%
18/05/2017,"12,590.06",123.48M,-0.33%
17/05/2017,"12,631.61",108.95M,-1.35%
16/05/2017,"12,804.53",80.32M,-0.02%
15/05/2017,"12,807.04",87.08M,0.29%
12/5/2017,"12,770.41",109.48M,0.47%
11/5/2017,"12,711.06",103.24M,-0.36%
10/5/2017,"12,757.46",108.07M,0.07%
9/5/2017,"12,749.12",113.26M,0.43%
8/5/2017,"12,694.55",100.74M,-0.18%
5/5/2017,"12,716.89",107.71M,0.55%
4/5/2017,"12,647.78",105.61M,0.96%
3/5/2017,"12,527.84",81.77M,0.16%
2/5/2017,"12,507.90",87.90M,0.56%
28/04/2017,"12,438.01",104.96M,-0.05%
27/04/2017,"12,443.79",104.31M,-0.23%
26/04/2017,"12,472.80",90.38M,0.05%
25/04/2017,"12,467.04",94.32M,0.10%
24/04/2017,"12,454.98",191.82M,3.37%
21/04/2017,"12,048.57",109.70M,0.18%
20/04/2017,"12,027.32",85.38M,0.09%
19/04/2017,"12,016.45",85.82M,0.13%
18/04/2017,"12,000.44",89.78M,-0.90%
13/04/2017,"12,109.00",75.85M,-0.38%
12/4/2017,"12,154.70",76.48M,0.13%
11/4/2017,"12,139.35",84.12M,-0.50%
10/4/2017,"12,200.52",58.53M,-0.20%
7/4/2017,"12,225.06",74.11M,-0.05%
6/4/2017,"12,230.89",76.55M,0.11%
5/4/2017,"12,217.54",86.82M,-0.53%
4/4/2017,"12,282.34",118.11M,0.21%
3/4/2017,"12,257.20",88.50M,-0.45%
31/03/2017,"12,312.87",113.06M,0.46%
30/03/2017,"12,256.43",88.51M,0.44%
29/03/2017,"12,203.00",104.38M,0.44%
28/03/2017,"12,149.42",95.84M,1.28%
27/03/2017,"11,996.07",88.96M,-0.57%
24/03/2017,"12,064.27",95.56M,0.20%
23/03/2017,"12,039.68",87.34M,1.14%
22/03/2017,"11,904.12",110.18M,-0.48%
21/03/2017,"11,962.13",134.94M,-0.75%
20/03/2017,"12,052.90",110.67M,-0.35%
17/03/2017,"12,095.24",193.23M,0.10%
16/03/2017,"12,083.18",123.03M,0.61%
15/03/2017,"12,009.87",104.49M,0.18%
14/03/2017,"11,988.79",108.40M,-0.01%
13/03/2017,"11,990.03",78.03M,0.22%
10/3/2017,"11,963.18",110.64M,-0.13%
9/3/2017,"11,978.39",106.15M,0.09%
8/3/2017,"11,967.31",99.11M,0.01%
7/3/2017,"11,966.14",78.82M,0.06%
6/3/2017,"11,958.40",99.17M,-0.57%
3/3/2017,"12,027.36",103.29M,-0.27%
2/3/2017,"12,059.57",82.10M,-0.06%
1/3/2017,"12,067.19",109.55M,1.97%
28/02/2017,"11,834.41",73.50M,0.10%
27/02/2017,"11,822.67",64.79M,0.16%
24/02/2017,"11,804.03",101.75M,-1.20%
23/02/2017,"11,947.83",71.93M,-0.42%
22/02/2017,"11,998.59",94.71M,0.26%
21/02/2017,"11,967.49",77.83M,1.18%
20/02/2017,"11,827.62",56.38M,0.60%
17/02/2017,"11,757.02",92.67M,0.00%
16/02/2017,"11,757.24",76.43M,-0.31%
15/02/2017,"11,793.93",88.88M,0.19%
14/02/2017,"11,771.81",72.65M,-0.02%
13/02/2017,"11,774.43",79.03M,0.92%
10/2/2017,"11,666.97",79.22M,0.21%
9/2/2017,"11,642.86",110.08M,0.86%
8/2/2017,"11,543.38",98.26M,-0.05%
7/2/2017,"11,549.44",72.25M,0.34%
6/2/2017,"11,509.84",95.25M,-1.22%
3/2/2017,"11,651.49",82.67M,0.20%
2/2/2017,"11,627.95",100.63M,-0.27%
1/2/2017,"11,659.50",97.42M,1.08%
31/01/2017,"11,535.31",100.43M,-1.25%
30/01/2017,"11,681.89",77.63M,-1.12%
27/01/2017,"11,814.27",73.42M,-0.29%
26/01/2017,"11,848.63",93.50M,0.36%
25/01/2017,"11,806.05",123.21M,1.82%
24/01/2017,"11,594.94",81.68M,0.43%
23/01/2017,"11,545.75",80.31M,-0.73%
20/01/2017,"11,630.13",114.83M,0.29%
19/01/2017,"11,596.89",91.89M,-0.02%
18/01/2017,"11,599.39",82.31M,0.51%
17/01/2017,"11,540.00",87.26M,-0.13%
16/01/2017,"11,554.71",63.00M,-0.64%
13/01/2017,"11,629.18",82.61M,0.94%
12/1/2017,"11,521.04",101.60M,-1.07%
11/1/2017,"11,646.17",101.23M,0.54%
10/1/2017,"11,583.30",88.74M,0.17%
9/1/2017,"11,563.99",81.16M,-0.30%
6/1/2017,"11,599.01",69.16M,0.12%
5/1/2017,"11,584.94",77.24M,0.01%
4/1/2017,"11,584.31",84.72M,0.00%
3/1/2017,"11,584.24",91.15M,-0.12%
2/1/2017,"11,598.33",48.92M,1.02%
30/12/2016,"11,481.06",43.10M,0.26%
29/12/2016,"11,451.05",45.11M,-0.21%
28/12/2016,"11,474.99",47.14M,0.02%
27/12/2016,"11,472.24",29.55M,0.19%
23/12/2016,"11,449.93",55.10M,-0.05%
22/12/2016,"11,456.10",51.52M,-0.11%
21/12/2016,"11,468.64",64.31M,0.03%
20/12/2016,"11,464.74",78.15M,0.33%
19/12/2016,"11,426.70",83.39M,0.20%
16/12/2016,"11,404.01",184.16M,0.33%
15/12/2016,"11,366.40",145.75M,1.08%
14/12/2016,"11,244.84",93.09M,-0.35%
13/12/2016,"11,284.65",101.53M,0.84%
12/12/2016,"11,190.21",92.59M,-0.12%
9/12/2016,"11,203.63",107.04M,0.22%
8/12/2016,"11,179.42",180.24M,1.75%
7/12/2016,"10,986.69",148.43M,1.96%
6/12/2016,"10,775.32",142.69M,0.85%
5/12/2016,"10,684.83",107.27M,1.63%
2/12/2016,"10,513.35",86.40M,-0.20%
1/12/2016,"10,534.05",93.40M,-1.00%
30/11/2016,"10,640.30",110.33M,0.19%
29/11/2016,"10,620.49",80.84M,0.36%
28/11/2016,"10,582.67",75.86M,-1.09%
25/11/2016,"10,699.27",61.04M,0.09%
24/11/2016,"10,689.26",55.62M,0.25%
23/11/2016,"10,662.44",95.53M,-0.48%
22/11/2016,"10,713.85",85.87M,0.27%
21/11/2016,"10,685.13",73.72M,0.19%
18/11/2016,"10,664.56",106.65M,-0.20%
17/11/2016,"10,685.54",98.11M,0.20%
16/11/2016,"10,663.87",98.81M,-0.66%
15/11/2016,"10,735.14",107.33M,0.39%
14/11/2016,"10,693.69",134.89M,0.24%
11/11/2016,"10,667.95",133.41M,0.36%
10/11/2016,"10,630.12",191.30M,-0.15%
9/11/2016,"10,646.01",173.82M,1.56%
8/11/2016,"10,482.32",78.08M,0.24%
7/11/2016,"10,456.95",84.89M,1.93%
4/11/2016,"10,259.13",90.28M,-0.65%
3/11/2016,"10,325.88",85.26M,-0.43%
2/11/2016,"10,370.93",92.79M,-1.47%
1/11/2016,"10,526.16",77.98M,-1.30%
